source_id,region,service_context,source_type,title,url,retrieved_at,evidence_strength,limitations
S01,Europe,Cross-category,government survey,"Key consumer data and 2025 Consumer Conditions Scoreboard","https://commission.europa.eu/strategy-and-policy/policies/consumers/consumer-protection-policy/key-consumer-data_en",2026-07-06,strong,"EU averages vary materially by country segment and service category"
S02,Europe,Insurance,government behavioral study,"Study on consumers' decision-making in insurance services","https://commission.europa.eu/publications/study-consumers-decision-making-insurance-services-behavioural-economics-perspective_en",2026-07-06,strong,"2017 non-life insurance study; do not generalize effect sizes to other services"
S03,OECD members,Online reviews,intergovernmental review,"Understanding online consumer ratings and reviews","https://one.oecd.org/document/DSTI/CP(2018)21/FINAL/En/pdf",2026-07-06,strong,"2019 synthesis; review platforms and manipulation practices continue to evolve"
S04,Europe,Online platforms,EU behavioral study,"Behavioural study on transparency of online platforms","https://iris.unitn.it/retrieve/e3835194-8e8b-72ef-e053-3705fe0ad821/transparency_of_platforms-study-final-report_en.pdf",2026-07-06,strong,"Platform experiments do not directly measure professional-service conversion"
S05,Germany,Online purchase,industry survey summary,"Customer reviews most important source of information for online shopping","https://www.conpolicy.de/en/news-detail/customer-reviews-most-important-source-of-information-for-online-shopping",2026-07-06,medium,"2017 Bitkom retail-oriented survey summarized by ConPolicy"
S06,Germany,Online purchase,industry survey,"E-commerce trends in 2021: this is how Germans shop online","https://www.bitkom.org/EN/List-and-detailpages/Press/E-Commerce-Trends-2021",2026-07-06,medium,"Retail context and 2021 timing limit transfer to services"
S07,Germany,Marketplaces,standards-body commissioned study,"Online marketplaces from the consumers' perspective","https://www.din.de/resource/blob/1040028/afd753d4ec34fd5de1341103594b04a4/study-on-online-marketplaces-from-the-consumers-perspective-problems-barriers-and-solutions--data.pdf",2026-07-06,medium,"Marketplace focus; study design and categories must be checked before using figures"
S08,Germany,Comparison portals,consumer-protection guidance,"Vergleichsportale richtig nutzen: So finden Sie das beste Angebot","https://www.verbraucherzentrale.de/wissen/digitale-welt/onlinehandel/vergleichsportale-richtig-nutzen-so-finden-sie-das-beste-angebot-39545",2026-07-06,strong,"Practical guidance and risk examples rather than preference measurement"
S09,Germany,Online reviews,consumer-protection study,"Fälschungen bei Bewertungen","https://www.verbraucherzentrale.de/sites/default/files/2018-12/Bewertungen_Untersuchung_Marktwaechter.pdf",2026-07-06,medium,"Older review-market investigation"
S10,Germany,Data-sensitive digital services,vendor survey,"Data Protection is Key to German Consumer Trust","https://mailchimp.com/newsroom/gdpr/",2026-07-06,weak,"Vendor-sponsored 2025 survey; wording and commercial context may influence results"
S11,United States,Reviews and testimonials,regulator guidance,"Consumer Reviews and Testimonials Rule: Questions and Answers","https://www.ftc.gov/business-guidance/resources/consumer-reviews-testimonials-rule-questions-answers",2026-07-06,strong,"Legal/compliance source; does not quantify conversion impact"
S12,United States,Service pricing,regulator guidance,"Rule on Unfair or Deceptive Fees: Frequently Asked Questions","https://www.ftc.gov/business-guidance/resources/rule-unfair-or-deceptive-fees-frequently-asked-questions",2026-07-06,strong,"Sector and effective-date details require current legal review"
S13,United States,Subscriptions,regulator enforcement,"FTC action against Adobe for hidden fees and difficult cancellation","https://www.ftc.gov/news-events/news/press-releases/2024/06/ftc-takes-action-against-adobe-executives-hiding-fees-preventing-consumers-easily-cancelling",2026-07-06,strong,"Enforcement allegation/case context; not consumer-preference research"
S14,United States,Local services,industry survey,"Local Consumer Review Survey 2026","https://www.brightlocal.com/research/local-consumer-review-survey/",2026-07-06,medium,"Marketing-provider survey; method and category mix limit universal conclusions"
S15,United States,Business trust,consulting survey,"Trust in US Business Survey","https://www.pwc.com/us/en/library/trust-in-business-survey.html",2026-07-06,medium,"Broad business survey not specific to service purchase decisions"
S16,United States,Healthcare services,peer-reviewed policy review,"Price Transparency in United States' Health Care","https://pmc.ncbi.nlm.nih.gov/articles/PMC11129567/",2026-07-06,medium,"Healthcare is unusually regulated and complex; transfer mechanisms not effect sizes"
